,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23,Sample24,Sample25,Sample26,Sample27,Sample28,Sample29,Sample30,Sample31,Sample32,Sample33,Sample34,Sample35,Sample36,Sample37,Sample38,Sample39,Sample40,Sample41,Sample42,Sample43,Sample44,Sample45,Sample46,Sample47,Sample48,Sample49,Sample50,Sample51,Sample52,Sample53,Sample54,Sample55,Sample56,Sample57,Sample58,Sample59,Sample60,Sample61,Sample62,Sample63,Sample64,Sample65,Sample66,Sample67,Sample68,Sample69,Sample70,Sample71,Sample72,Sample73,Sample74,Sample75,Sample76,Sample77,Sample78,Sample79,Sample80,Sample81,Sample82,Sample83,Sample84,Sample85
Dst,3.035774059,2.965817679,1.758893803,2.61931784,2.899808639,1.748514906,2.237629617,2.853592594,2.24155442,2.195696709,2.909101391,1.612053988,1.963180304,3.165782085,3.136165587,2.37718218,2.816662652,1.134835122,2.804239876,2.073091014,2.483671366,2.25238851,2.887886272,1.712354164,2.737498784,3.157942143,2.510310249,3.311171056,2.050879542,2.687707059,2.994613788,1.967723537,2.922185833,2.747439224,1.625406663,2.259910744,2.333045029,3.003414872,2.587044538,2.544054818,2.974369932,2.854796805,1.869592601,2.80411866,1.987221657,2.156506341,3.13750046,1.777715883,2.791547532,1.777671044,2.714689925,2.714689925,1.510573204,2.445536374,2.723980269,1.903047919,2.230594925,3.204986359,1.81508401,2.376877903,2.982667576,2.118939243,2.520727739,3.061721473,2.177140019,2.940372742,2.901034942,2.345873392,2.497663099,2.898204769,1.846511975,2.34112563,3.00979035,1.616618709,2.382938931,3.262551188,1.501423591,2.554920395,2.90037641,2.223062958,3.089361753,1.543155813,3.150942037,2.732396182,1.286515366
Dst,1.337655211,1.517371005,1.915853942,2.307619316,1.402781673,1.786534087,2.355454723,2.156629255,2.388069416,1.73056772,1.382762932,1.498160055,2.001264363,1.676447833,1.299908136,1.860379055,1.513451945,2.029572028,1.567086626,2.137234543,1.938291231,1.379827425,1.14688839,1.834195631,1.269106496,1.638434968,2.252735881,1.489086477,2.17445745,1.528741748,1.738281127,2.275487085,1.65814549,1.732440084,2.430939008,3.215534079,2.120268583,1.480218043,1.551369005,1.697567267,1.670333112,1.256344019,1.577093945,1.399366987,1.80752318,1.985184537,1.51405689,1.68891844,1.119639655,1.688874448,1.135634318,1.135634318,1.742705908,1.238822911,1.201895395,2.005097701,1.329115539,1.155542502,2.251962046,1.971402608,0.964838168,1.798264482,1.408957114,1.665387516,1.791112496,1.879467086,1.489515167,1.443037554,2.584134855,1.654653069,2.240735906,1.750207415,1.268061201,1.654299738,1.534031496,1.564892945,1.071548762,2.036970552,1.161101985,2.67023027,1.302599417,1.734547039,1.20869751,1.32494703,1.78625547
Dst,2.605078401,2.598332532,1.948644813,2.544003539,2.683178591,2.010150688,2.025062393,2.634658318,2.456375487,2.463632923,2.533095958,1.701174716,2.171093839,2.544226725,2.700434086,2.497314034,2.653410797,1.603331862,2.889997731,2.358305594,2.338193003,2.428645756,2.569854487,1.922998976,2.575004076,2.832283162,1.993671414,2.809010962,1.959161279,2.663095396,2.61894916,2.06773839,2.289036399,2.751770728,2.103497118,2.359163063,2.477806613,2.798532719,2.76880361,2.632558812,2.902750976,2.32811444,1.644078684,2.401712524,1.717052703,2.014846547,2.690157555,1.72689361,2.517918718,1.726849246,2.303606134,2.303606134,1.946793978,2.282698408,2.279455444,1.644273932,2.148709416,2.547901551,2.175706195,2.004110536,2.476048003,2.583461343,2.573447553,2.561302613,2.287773293,2.409123194,2.681366658,2.305852616,1.986268125,2.227575786,1.692832994,2.082068918,2.354758246,1.710006049,1.817987666,2.811772204,1.548884114,2.340996884,2.691699738,2.547647327,2.487111703,1.562077505,2.497942133,2.644395763,1.505585411
Dst,2.349205613,2.497467145,3.105350583,2.866639743,2.884820367,2.974534925,2.869237524,2.729754133,2.996562608,0,2.402085766,2.563498214,2.681528399,2.42385598,2.559784619,2.861218235,2.193404109,2.682761741,2.451738218,2.411576299,2.680217908,2.118402293,2.693136797,2.783384108,3.126812101,2.263601314,2.81150317,2.808194818,2.913492731,2.633917262,2.454376861,2.855935911,2.571052654,2.517917083,2.623043375,2.843156701,2.760997866,2.818243433,2.58547312,2.426174697,2.781535377,2.411767273,2.968005349,2.336954747,2.222190324,2.340018488,2.124417106,2.118955408,2.145852543,2.118907932,2.010289881,2.010289881,2.589740983,2.295880225,2.07932089,2.606244762,2.277341278,2.15372777,2.363101887,2.376200392,2.186555799,2.425447829,2.441012709,2.248421595,2.601781373,2.525803786,2.484458112,2.695611862,2.857028314,2.421422883,2.733757724,2.422559974,2.538720901,2.787706352,2.800195483,2.432696043,1.89569069,2.490396306,2.394647702,3.211154582,2.567068829,2.635147464,2.516785921,2.605521303,2.125475718
Dst,3.393344745,2.937135148,2.762814961,3.040455609,3.141085329,3.063634958,3.015437725,3.072764388,3.103091356,3.239569237,3.244453873,3.19830406,3.246604243,3.227067406,3.060233011,3.100664211,3.22411292,3.240841779,2.987016384,3.080575006,2.917117738,3.161271888,2.862828725,2.821598154,2.615974689,2.962529639,3.373350414,3.161393168,2.953020096,3.004687833,3.073373292,3.174566589,3.011669642,3.380450839,3.186648801,3.508402939,3.232131906,3.418005421,3.274716924,3.183842323,3.382474162,2.870483777,2.807612338,2.797051264,2.743196482,2.819207423,2.856692396,2.599603957,2.77596373,2.599554006,2.614380258,2.614380258,2.672426142,2.620158107,2.777458814,2.776184025,2.843895,2.887492833,3.0143035,2.71335756,2.805685492,2.696147584,2.777174068,2.969886861,3.016103909,3.18732345,2.93019765,2.711065033,2.852364211,2.721242932,2.755551558,2.611474331,2.707830415,2.912691885,2.574344788,2.790222181,2.315222549,2.539700627,2.723232775,2.876855567,2.80775502,2.588623844,2.631275342,2.705157264,2.842723698
Dst,0.700866435,0.105841678,0,0.093530489,0.718711662,0.095651746,0,0.064258433,0,0,0,0,0,0,0.065204214,0,0.608884116,0,0.073539779,0,0,0,1.127125407,0,0,0.743449052,0,1.222889501,0,0.372986085,0.555874018,0,0.087658358,0.350254482,0,0,0.373197281,0.801055132,0.344956346,0,0.986722909,0.16958837,0,0.361977406,0,0,0.858669086,0,0.068648924,0,0.44064827,0.44064827,0,0,0,0,0,1.058007808,0,0,0.443561457,0,0.147110321,0,0,0.276209051,0,0,0,0,0,0,0,0,0,1.073454657,0,0.161235925,0.705594574,0,0.794068948,0,1.448992087,1.00275041,0
Fam168b,2.632313426,2.432784504,1.41982415,2.521488774,2.441171854,2.254603686,2.151545998,2.622266828,2.30764869,2.386652075,2.367265436,1.48867906,2.008485306,2.456813314,2.663083972,2.253974943,2.39192949,1.8645101,2.284820269,2.085984487,2.599413736,2.353231623,2.394012021,2.250959339,2.227491635,2.568207733,2.093770679,2.580873967,2.340728331,2.455879887,2.837355509,1.954491645,2.640501257,2.314823915,2.191629271,2.487566052,2.165281359,2.811956643,2.314208942,2.625956163,2.580690969,2.33216946,1.987330958,2.515569526,1.581888436,2.162875941,2.168578147,1.703885226,2.0139982,1.703841086,1.984501127,1.984501127,2.165291347,2.316541301,2.217831409,2.264721905,2.158262326,2.418821846,2.250138747,2.030762881,2.52133141,2.176719172,2.266016963,2.298245349,1.943715898,2.234253135,2.474616028,1.959412854,2.06671611,2.259650427,2.027787539,2.018212153,2.088168951,1.717609191,2.390628663,2.561859922,1.723316402,2.475318119,2.733064295,2.119357336,2.487877505,1.825410922,2.696213548,2.299458118,1.843171105
Fam168b,0,0,0,0.155881059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fam168b,2.171978715,2.106064383,1.517732511,1.866215266,2.268038149,1.684876462,1.677088625,1.910320289,1.572686212,1.221643166,1.966099401,1.022027266,1.749157836,2.140105978,1.967677764,1.598494316,2.014280954,1.197837242,1.975031535,1.409362036,1.805324161,1.63498378,2.23746647,1.377348183,1.748443376,2.349054368,1.907243248,2.542480017,1.593102515,2.010477137,2.499158442,1.692395796,1.803880687,1.69929229,1.272202093,1.522986885,1.809526297,1.981238905,1.501408344,1.921973433,2.003038531,2.105415299,1.605572547,2.105511856,1.698995704,1.592764682,2.115481752,1.309087834,2.05977143,1.309048448,2.169034676,2.169034676,1.576686873,2.208163577,2.164886742,1.121792668,1.63293798,2.232042453,1.762162546,1.737058796,2.528113964,1.816442844,2.123248483,1.96404834,1.474747255,1.885299981,2.198495462,1.870392313,1.342209019,1.857964648,1.350055794,1.556032382,2.292091124,1.266108731,1.899560351,2.234046331,1.06944117,1.943131847,2.066848041,1.478131598,2.160061082,1.074080755,2.030888418,2.082527654,1.17633736
Fam168b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467602565,0,0
Fam168b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202857381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402062061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fam168b,0,0,0,0,0,0,0,0.067610566,0.260869241,0,0,0,0,0,0,0,0.035110962,0,0.077388167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061434188,0,0.105207635,0.135277398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086997236,0,0,0,0.082203649,0,0,0,0.057851383,0.058493933,0,0,0,0,0
Fam168b,0.188846553,0,0.205285461,0.306379233,0.059594989,0,0,0.092714247,0.066478631,0,0.063754997,0.197312989,0.177856539,0.048549258,0.220354444,0.758216297,0,0,0.054241406,0.125485903,0.055811083,0.184247284,0.1620202,0.160721744,0.086018144,0.206668371,0.323193482,0.065198122,0.34584736,0.063944205,0.296026441,0.284973732,0.125370877,0.207001012,0,0.042917566,0.285071581,0,0,0,0.171978307,0.044098697,0,0.06192521,0,0.066928137,0,0.077309904,0.098807354,0.07730589,0.111590334,0.111590334,0,0,0.106517162,0,0.073151382,0.157836683,0.353941045,0,0,0.072850375,0.1097012,0.248502657,0.265231795,0.093733561,0.043976271,0.100289114,0.113625999,0,0.06100783,0.144996206,0.088979089,0.064374763,0,0.193942294,0,0.22748867,0.253563122,0.406360021,0.151978562,0,0.064856436,0.286765088,0
Cox5b,0,0,0,0.066795398,0,0,0,0,0.064109065,0,0,0,0,0,0,0,0,0,0,0,0,0.293421958,0,0,0,0.053808125,0.070914876,0,0,0,0,0,0.228953719,0,0,0,0,0,0,0,0,0,0,0,0,0.06455836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225102281,0,0,0,0,0,0,0,0.062086177,0.055614467,0,0,0,0.038946167,0,0,0,0,0.034937591,0
Lonrf2,0,0,0,0.564948791,0,0,0,0,0,0,0,0,0,0,0,0.911369709,0,0,0,0,0,0.746579539,0,0,0,0,3.198092136,0,0,0,0,0,0,0,1.0174152,0,0,0,0,2.273213215,0,0,0,0,0.665908922,0,0.465847912,0,0,0,0,0,0,0,0,0,0.595825454,0.484219235,0,0,0,0,0,0,0,1.133988189,0,0,0,0,0,0,0,1.529714848,2.510961794,0,0,0,0,0,0,0,0,0,0
Lonrf2,0.264530675,0.949801501,0.914075801,0.94293418,0.804051211,0.674698999,1.019204409,0.645598205,0.789038737,0.791042938,0.818211836,0.251649251,0.519362739,0.553744663,1.168989192,0.520100626,0.758508411,1.311428635,0.886647537,0.660307531,1.376778667,1.91443376,0.379070824,0.427301997,0.881075076,1.376626259,1.499843723,0.601784943,0.432743296,0.939385697,0.803605716,0.71106402,1.227640459,0.384739556,0.242421014,0.454144631,0.437692378,0.7915015,0.161027022,1.224573684,0.684533919,0.816404539,0.291063383,1.025035064,0.439517347,1.377909546,1.054243419,1.510581407,0.645188788,1.510539361,1.253123714,1.253123714,0.487218611,1.108697782,0.844667549,0.554555072,0.815739892,0.931129919,0.402281221,0.580066951,0.810702809,1.236339654,1.304898955,0.568542807,0.36653419,1.583046043,0.412853018,0.525952153,1.15046328,0.479994785,0,0.435451085,0.501260117,0.65754779,2.14402885,0.957577366,0.377720302,1.168727704,0.551332447,0.52715725,0.476347132,0.077091542,0.532790896,0.458093928,0.224328572
Map4k4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054719772,0,0,0.094109092,0,0,0,0,0,0,0,0,0.062653627,0,0,0,0,0,0,0,0,0,0,0,0.08287434,0,0.098329386,0,0.04971386,0,0,0,0,0,0,0.056947883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049544079,0,0,0.027962185,0,0,0.025908865,0,0,0,0,0,0.067387033,0,0.067273925,0,0,0.080164382,0
Map4k4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020420101,0,0,0,0,0,0,0,0,0
Map4k4,1.209314658,1.724682641,0.121186049,0.719739322,1.212434857,0.079754119,0.187790767,0.81661852,0.530656405,0.288145109,1.380655848,0,0,1.229050564,1.481555478,0.75241655,1.379228427,0,0.59864455,0,0.280970369,0.108388677,0.808403932,0,0.537184997,1.601739434,0.082854863,1.570960351,0.210114449,0.972035706,1.857223009,0.317375442,1.06123429,1.304898339,0.163515429,0.221610716,0.626550427,1.572919772,1.343220627,1.187980048,1.415283421,1.207267086,0.083822026,1.105739435,0,0.533162794,0.975938662,0.086983466,0.972441585,0.086978971,1.300240905,1.300240905,0,0.830031565,1.130247681,0,0.572329944,1.054108615,0.076975226,0.379480415,1.442467285,0.3558678,0.808809435,1.297246954,0.415471294,0.952720296,1.075521408,0.573833578,0.519083518,1.205079335,0,0.462630211,1.24516069,0.203442727,1.103423535,1.63200231,0.213415089,0.584877458,0.751194779,0.478808321,1.401497898,0,1.430188474,0.847864733,0.360399761
Map4k4,3.389256878,3.307929237,3.595754221,3.483205707,3.513991902,3.581689022,3.72606318,3.51818958,3.62610615,3.767476377,3.344686422,3.518976892,3.255429126,3.20530761,3.441849766,3.460533849,3.321878979,3.609455622,3.494238816,3.820119564,3.584194738,3.629980969,3.204052618,3.527838609,3.333790782,3.154223314,3.475525785,3.22511989,3.537299782,3.228540223,3.165155396,3.540043568,3.229704017,3.486981666,3.463726016,3.481088715,3.34949094,3.428471994,3.519165931,3.53067561,3.425010204,3.479424407,3.515183663,3.310402341,3.331193159,3.320376245,3.105192295,3.691337993,3.448891744,3.691285379,3.054290993,3.054290993,3.444724782,3.33198477,3.076597931,3.401301245,3.393030911,3.175844511,3.333711472,3.509495788,3.089177377,3.218931268,3.179011834,3.248549533,3.418715659,3.274186527,3.223667113,3.287281609,3.874388542,3.363136636,3.585962657,3.515805394,3.344622483,3.650198647,3.410225976,3.210608321,3.90306339,3.263262927,3.201734442,3.443942195,3.183848275,3.548239126,3.285990566,3.282888854,3.554419986
Map4k4,5.239451977,5.095448964,5.036534653,5.29325215,5.184521321,5.06222397,5.053693361,5.429721168,5.538720916,5.493689028,5.199260955,4.932013698,5.114569287,5.287075825,5.222677742,5.233140814,5.246582462,4.945514462,5.281705317,5.233897687,5.340524339,5.214247562,5.014806385,4.851129058,4.851163411,5.165694266,5.147954956,5.276126823,5.210119709,5.198521402,5.12622597,5.173567545,5.131894111,5.310497053,5.098093792,5.590670102,5.277336429,5.09849003,5.132101074,5.016657038,5.218310222,5.12470831,4.939956927,5.221399322,4.957585271,5.013820884,5.08186857,4.977183583,4.984751795,4.977129996,4.811743516,4.811743516,4.941333399,4.788194482,4.950621845,5.076708919,5.142382553,5.0013116,5.164146139,4.777094607,5.243414599,5.04925005,5.280440308,5.147944427,5.224140364,5.236434291,4.932865517,4.736192649,5.20491993,5.190521562,5.2861907,5.110586425,5.046582883,4.865760973,4.768663562,5.081991161,4.460546342,5.304639282,5.073936984,5.282897816,5.079705626,4.840889538,4.987379981,5.4338924,4.985019862
Map4k4,0,0,0.074193339,0,0.079679067,0,0.116614777,0.063653965,0.045333921,0.032754789,0.200971337,0.071154243,0.233693168,0.126297545,0.064595888,0.091595655,0.016719392,0,0.072614897,0.04420728,0.038107833,0.12796951,0.212774464,0.05714324,0.114492452,0.109951348,0.09790678,0.167172234,0,0.085424777,0.124552885,0.200463787,0,0.144539625,0,0.029164426,0.200916011,0,0.126447238,0,0.258294417,0.059211198,0.050887211,0.082944267,0,0,0.073339519,0.150962016,0.067810712,0.150954455,0.039109935,0.039109935,0,0,0.037325035,0.055727899,0.050020172,0,0.046757184,0,0,0.097182347,0.145620043,0.090988844,0.097755944,0.084846045,0,0,0,0.097047255,0,0.067917815,0.030944477,0.043936575,0.039333025,0.116946785,0.068441555,0.042219243,0.054187774,0.132126354,0.027381518,0,0.086889097,0,0
Map4k4,0.046649922,0.054636131,0,0,0,0,0.118826867,0,0,0.065754034,0,0,0,0.033769927,0,0.047786796,0,0,0,0.045096703,0,0.034228128,0,0,0,0.112056014,0,0,0,0,0,0,0,0,0,0,0.037140152,0,0,0.041234934,0,0,0,0,0,0,0,0,0.03517828,0,0.078268669,0.078268669,0.060061711,0,0.038062132,0.110626072,0.099571424,0,0,0,0,0,0,0.062800614,0,0.022341854,0,0,0,0,0,0,0,0.128856235,0.075958111,0.020873947,0,0,0.028008362,0,0.02793645,0.061277564,0,0,0
